hari_ke,tanggal,total_kasus,kasus_baru,total_kematian,kematian_baru,total_sembuh,sembuh_baru,kasus_aktif,DR,RR,CAR
222,09/10/2020,324658,4094,11677,97,247667,3607,65314,0.0360,0.7629,0.2012
223,10/10/2020,328952,4294,11765,88,251481,3814,65706,0.0358,0.7645,0.1997
224,11/10/2020,333449,4497,11844,79,255027,3546,66578,0.0355,0.7648,0.1997
225,12/10/2020,336716,3276,11935,91,258519,3492,66262,0.0354,0.7678,0.1968
226,13/10/2020,340622,3906,12027,92,263296,4777,65299,0.0353,0.7730,0.1917
227,14/10/2020,344749,4127,12156,129,267851,4555,64742,0.0353,0.7769,0.1878
228,15/10/2020,349160,4411,12268,112,273661,5810,63231,0.0351,0.7838,0.1811
229,16/10/2020,353461,4301,12347,79,277544,3883,63570,0.0349,0.7852,0.1799
230,17/10/2020,357762,4301,12431,84,281592,4084,63739,0.0347,0.7871,0.1782
231,18/10/2020,361867,4105,12511,80,285324,3732,64032,0.0346,0.7885,0.1769
232,19/10/2020,365240,3373,12617,106,289243,3919,63380,0.0345,0.7919,0.1735
233,20/10/2020,368842,3602,12734,117,293653,4410,62455,0.0345,0.7961,0.1693
234,21/10/2020,373109,4267,12857,123,297509,3856,62743,0.0345,0.7974,0.1682
235,22/10/2020,377541,4432,12959,102,301006,3497,63576,0.0343,0.7973,0.1684
236,23/10/2020,381910,4369,13077,118,305100,4094,63733,0.0342,0.7989,0.1669
237,24/10/2020,385980,4070,13205,128,309219,4119,63556,0.0342,0.8011,0.1647
238,25/10/2020,389712,3732,13299,94,313764,4545,62649,0.0341,0.8051,0.1608
239,26/10/2020,392934,3222,13411,112,317672,3908,61851,0.0341,0.8085,0.1574
240,27/10/2020,396454,3520,13512,101,322248,4576,60694,0.0341,0.8128,0.1531
241,28/10/2020,400483,4029,13612,100,325793,3545,61078,0.0340,0.8135,0.1525
242,29/10/2020,404048,3565,13701,89,329778,3985,60569,0.0339,0.8162,0.1499
243,30/10/2020,406945,2897,13782,81,334295,4517,58868,0.0339,0.8215,0.1447
244,31/10/2020,410088,3143,13869,87,337801,3506,58418,0.0338,0.8237,0.1425
245,01/11/2020,412784,2696,13943,74,341942,4141,56899,0.0338,0.8284,0.1378
246,02/11/2020,415402,2618,14044,101,345566,3624,55792,0.0338,0.8319,0.1343
247,03/11/2020,418375,2973,14146,102,349497,3931,54732,0.0338,0.8354,0.1308
248,04/11/2020,421731,3356,14259,113,353282,3785,54190,0.0338,0.8377,0.1285
249,05/11/2020,425796,4065,14348,86,357142,3860,54306,0.0337,0.8388,0.1275
250,06/11/2020,429574,3778,14442,94,360705,3563,54427,0.0336,0.8397,0.1267
251,07/11/2020,433836,4262,14540,98,364417,3712,54879,0.0335,0.8400,0.1265
252,08/11/2020,437716,3880,14614,74,368298,3881,54804,0.0334,0.8414,0.1252
253,09/11/2020,440569,2853,14689,75,372266,3968,53614,0.0333,0.8450,0.1217
254,10/11/2020,444348,3779,14761,72,375741,3475,53846,0.0332,0.8456,0.1212
255,11/11/2020,448118,3770,14836,75,378982,3241,54300,0.0331,0.8457,0.1212
256,12/11/2020,452291,4173,14933,97,382084,3102,55274,0.0330,0.8448,0.1222
